name;koordinat;foto;plastik;metal;bymaga;steklo;odegda;batareiki;lampochki;technika;krishechki;shini;inoe;zubnie_shetki;gradusniki;kol_vo_sectorov_diagrav;cvet;multipole;info1;info2;info3;info4;info5;
"ул. Валерия Гассия, 4, корпус 4
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9890618,39.0698255;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"ул. Валерия Гассия, 14
Контейнер ООО ""РТС"" (Чистый город) Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.989996,39.0730542;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"#FEF008
";plastik;;;;;;
"ул. Валерия Гассия, 6/1
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9901335,39.0707296;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"ул. Валерия Гассия, 19
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9903657,39.0762936;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"ул. Валерия Гассия, 10
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9906063,39.0723855;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"ул. Валерия Гассия, 4
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9912999,39.071524;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"ул. Кружевная, 5
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9929539,39.0655156;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"ул. Кружевная, 3
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9931165,39.066949;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"пос. городского типа Тлюстенхабль, Теучежский район, республика Адыгея
Закупка макулатуры и полимерных отходов ООО ""Вектор"" (чтобы найти адрес, позвоните тел. +7 (861) 299-72-35, +7 (989) 275-90-90)
Принимают:
- гофрированный картон (5Б/2);
- архив (7Б/1) сортированный - сортированные отходы производства белой бумаги (кроме газетной) в виде обрезков с линовкой и чёрно-белой или цветной полосой;
- книги, пр-ты, газеты, каталоги, блокноты, тетради, записные книжки (7Б/4) и др. виды продукции полиграфической промышленности и бумажных товаров с однокрасочной и цветной печатью без преплётов и корешков, изданные на белой бумаге;
- отходы мелованной или офсетной бумаги (кроме газетной) 7Б/2;
- смесь всех марок 13В (кроме влагостойких);
- полипропелен (PP) - использованный овощной ящик, лом овощного ящика;
- ПВД/стретч - отходы ПВД/стрейч плёнки, гладкие нешуршащие пакеты, пищевая плёнка, парниковая плёнка, упаковочная плёнка;
- ПPET (01) - использованная тара пластиковой бутылки, брак производства пластиковой бутылки, преформа под пластиковую бутылку.
https://pzp-vector.ru/
";44.99325800267895, 39.11042065618867;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
"пр-т писателя Знаменского, 31, корпус 1
Контейнер ООО ""РТС"" (Чистый город) 
Принимают:
- макулатуру;
- пластиковые бутылки из-под напитков с маркировкой PET (01);
- пластиковые флаконы из-под бытовой химии с маркировкой HDPE/PEHD (02);
- пакеты (HDPE/PEHD (02));
- плёнку,  пупырчатую плёнку,  пакеты из-под молочных продуктов, мягкие почтовые конверты (LPDE (04));
- стрейч-плёнку,
- вёдра;
- ПП ящики;
- пенопласт
vyvozmusora23.ru
vtormusor.ru";44.9932714,39.0776021;;1;0;1;0;0;0;0;0;0;0;0;0;0;2;"#FEF008
,#0283BC
";plastik,bymaga;;;;;;
